Codename,Name,Abbreviation,Type,Category,URL,Game,UseMaster,UseAssets,Release,Version,Stability,Size,Author,Readme
hommet,Hommet NPC,,minor,NPC,https://downloads.weaselmods.net/download/hommet,IWD,,,2026-02-01,1.2,,4723117,Lava,-
Husam_NPC,Husam NPC,,minor,NPC,https://github.com/Gitjas/Husam_NPC,BG1,,,2023-11-18,vBeta_231118,beta,5221176,jastey,-
Isra-NPC-BG2,Isra for BG2,,minor,NPC,https://github.com/Spellhold-Studios/Isra-NPC-BG2,BG2,,,2024-12-15,v3.1,,15741202,Rhaella ,https://spellhold-studios.github.io/readmes/isra-npc-bg2/isra_bg2-readme-english.html
Isra-NPC,Isra NPC,,minor,NPC,https://github.com/Spellhold-Studios/Isra-NPC,BG1,,,2024-12-15,v3.5,,10116626,Rhaella ,https://spellhold-studios.github.io/readmes/isra-npc/isra-readme-english.html
IWD_NPC,IWD NPC,,major,NPC,https://github.com/Pocket-Plane-Group/IWD_NPC,IWD,,,2022-09-23,v9,,26807285,Kulyok ,https://github.com/Pocket-Plane-Group/IWD_NPC/blob/main/iwdnpc/Readme-IWDNPC.txt
KarihiNPC,Karihi NPC,,minor,NPC,https://github.com/TheArtisanBG/KarihiNPC,IWD,1,,2026-02-06,7478ae3,,8699125,TheArtisan,https://theartisanbg.github.io/The-Artisans-Corner/iwdnpcs
khalid-bg2,Khalid for BG2,,minor,NPC,https://downloads.weaselmods.net/download/khalid-bg2,BG2,,,2026-05-27,1.08,,19968040,Lava,-
Kivan_and_Deheriana,Kivan and Deheriana,,minor,NPC,https://github.com/Gibberlings3/Kivan_and_Deheriana,BG2,,,2025-01-15,v19,,15323219,Domi,https://gibberlings3.github.io/Documentation/readmes/readme-kivan-new.html
Kvel-BG1,Kvel NPC,,minor,NPC,https://github.com/ArtemiusI/Kvel-BG1,BG1,1,,2026-05-30,ea55144,,5803117,TheArtisan,https://theartisanbg.github.io/The-Artisans-Corner/kvel-bg1
lanna,Lanna NPC,,minor,NPC,https://downloads.weaselmods.net/download/lanna,IWD,,,2024-04-30,1.8,,17531568,Lava,-
LivingClara,Living Clara,,minor,NPC,https://github.com/trow/LivingClara,BG2,,,2026-07-26,v1.2.0,,10926099,MephistoSatanDevil,-
mkhiinbg2,M'Khiin for BG2,,minor,NPC,https://github.com/szaumoor/mkhiinbg2,BG2,,,2025-08-05,9531db2,beta,23401903,Kaelyn,-
MinervaNPC,Minerva NPC,,minor,NPC,https://github.com/TheArtisanBG/MinervaNPC,IWD,1,,2026-04-26,d3d4e57,,26476932,TheArtisan,https://theartisanbg.github.io/The-Artisans-Corner/iwdnpcs
IWD-Nirik-NPC,Nirik NPC,,minor,NPC,https://github.com/TheArtisanBG/IWD-Nirik-NPC,IWD,1,,2025-04-11,2a1e9a9,,3149428,TheArtisan,https://theartisanbg.github.io/The-Artisans-Corner/iwdnpcs
oak-maw,Oak-Maw NPC,,minor,NPC,https://downloads.weaselmods.net/download/oak-maw,IWD,,,2024-09-06,3.3,,4582267,Lava,-
OphysiaBG1,Ophysia NPC,,minor,NPC,https://github.com/Llewren/OphysiaBG1,BG1,,,2026-01-26,v1.4.1,,24307185,Llewren,-
orra,Orra NPC,,minor,NPC,https://downloads.weaselmods.net/download/orra,IWD,,,2025-12-13,2.7,,2629421,Lava,-
quayle-bg2,Quayle for BG2,,minor,NPC,https://downloads.weaselmods.net/download/quayle-bg2,BG2,,,2026-05-12,7.6,,7573364,Lava,-
Saradas-Magic-BG2,Saradas Magic for BG2,,minor,NPC,https://github.com/Spellhold-Studios/Saradas-Magic-BG2,BG2,,,2024-12-15,v2.0.0,,4468845,Saradas,https://spellhold-studios.github.io/readmes/saradas-magic-bg2/saradas_magic_2-readme-english.html
shar-teel-bg2ee,Shar-Teel for BG2EE,,minor,NPC,https://downloads.weaselmods.net/download/shar-teel-bg2ee,BG2,,,2026-07-31,1.01,,9052943,Lava,-
Sharteel-NPC-SoD,Shar-Teel for SoD,,minor,NPC,https://github.com/11jo/Sharteel-NPC-SoD,BG1,,,2026-05-20,6f5b194,,1520861,11jo,https://www.shsforums.net/topic/59065-mod-sharteel-npc-mod-for-sod/
sir-arkanis-for-sod,Sir Arkanis for SoD,,minor,NPC,https://downloads.weaselmods.net/download/sir-arkanis-for-sod,BG1,,,2026-02-04,1.1,,461542,Lava,-
Solaufeins_Rescue_NPC,Solaufein's Rescue,,minor,NPC,https://github.com/Gitjas/Solaufeins_Rescue_NPC,BG2,,,2024-06-07,v5,,47079505,jastey,-
BaldursGateMods,The Beaurin Legacy,,minor,NPC,https://github.com/jessicq/BaldursGateMods,BG1-BG2,,,2026-03-06,056c349,,50314334,jmaeq,https://htmlpreview.github.io/?https://github.com/jessicq/BaldursGateMods/blob/master/TheBeaurinLegacy/TheBeaurinLegacy-ReadMe.html
the-return-of-xzar-and-montaron,The Return of Xzar and Montaron,,minor,NPC,https://downloads.weaselmods.net/download/the-return-of-xzar-and-montaron,BG2,,,2026-06-26,1.6,,8735237,Lava,-
tipps,Tipps NPC,,minor,NPC,https://downloads.weaselmods.net/download/tipps,IWD,,,2025-12-09,2.4,,8907973,Lava,-
tviy,Tviy NPC,,minor,NPC,https://downloads.weaselmods.net/download/tviy,IWD,,,2024-09-06,2.4,,6794664,Lava,-
urchin,Urchin NPC,,minor,NPC,https://downloads.weaselmods.net/download/urchin,IWD,,,2024-01-27,2.5,,36930819,Lava,-
Valerie-NPC,Valerie NPC,,minor,NPC,https://github.com/Spellhold-Studios/Valerie-NPC,BG1,,,2024-12-15,v1.2,,3653810,Tempest ,https://spellhold-studios.github.io/readmes/valerie-npc/valerie-readme-english.html
verrsza-bg2ee,Verr'sza for BG2EE,,minor,NPC,https://downloads.weaselmods.net/download/verrsza-bg2ee,BG2,,,2025-12-27,2.3.1,,24803883,Lava,-
Vienxay-BG1,Vienxay NPC,,minor,NPC,https://github.com/Skitia/Vienxay-BG1,BG1,,,2024-11-04,cf2ac83,,5864155,Skitia,-
vito,Vito NPC,,minor,NPC,https://downloads.weaselmods.net/download/vito,IWD,,,2026-01-14,1.1,,10162830,Lava,-
will-of-the-wisps,Will of the Wisps,,minor,NPC,https://downloads.weaselmods.net/download/will-of-the-wisps,BG1-BG2-IWD,,,2026-01-12,3.5,,52465480,Lava,-
Xan_for_BGII,Xan for BG2,,minor,NPC,https://github.com/Pocket-Plane-Group/Xan_for_BGII,BG2,,,2020-08-04,v19,,78769853,Kulyok,https://mods.pocketplane.net/kulyok/Readme-Xan.txt
xikaszs-grove-of-chaos,Xikasz's Grove of Chaos,,minor,NPC,https://downloads.weaselmods.net/download/xikaszs-grove-of-chaos,IWD,,,2025-12-13,2.0,,21031601,Lava,-
Yeslick-NPC,Yeslick NPC,,minor,NPC,https://github.com/Spellhold-Studios/Yeslick-NPC,BG2,,,2024-12-15,v5.0,,8828591,"Pixel Kaiser, Kaeloree, Lava",https://spellhold-studios.github.io/readmes/yeslick-npc/yeslicknpc-readme-english.html
Ajantis_BG1_Expansion,Ajantis BG1 Expansion,,minor,NPC-EXPANSION,https://github.com/Gibberlings3/Ajantis_BG1_Expansion,BG1,,,2026-01-07,v22,,5735231,jastey,https://gibberlings3.github.io/Documentation/readmes/Readme.ajantisbg1.English.txt
Arnel-Nalia-Romance-Revision,Arnel's Nalia Romance Revision,,minor,NPC-EXPANSION,https://github.com/Spellhold-Studios/Arnel-Nalia-Romance-Revision,BG2,,,2024-12-15,v2.0.0,,3091834,Arnel ,https://spellhold-studios.github.io/readmes/arnel-nalia-romance-revision/luvnalia-readme-english.html
Banter_Pack,BG2 Banter Pack,,medium,NPC-EXPANSION,https://github.com/Pocket-Plane-Group/Banter_Pack,BG2,,,2021-09-17,v18,,3830396,Multiple ,https://mods.pocketplane.net/readmes/BANTER-README.txt
BG2-Romance-Expanded,BG2 Romance Expanded,,minor,NPC-EXPANSION,https://github.com/Otherwisely/BG2-Romance-Expanded,BG2,,1,2024-03-07,v1.0.6,,3768136,Otherwisely,-
Cernd-Friendship,Cernd Friendship,,minor,NPC-EXPANSION,https://github.com/Spellhold-Studios/Cernd-Friendship,BG2,,,2024-12-15,v1.4,,1348848,"Kaeloree, Lava",https://spellhold-studios.github.io/readmes/cernd-friendship/cerndfriendship-readme-english.html
cernd-romance,Cernd Romance,,minor,NPC-EXPANSION,https://downloads.weaselmods.net/download/cernd-romance,BG2,,,2026-01-10,1.01,,3813787,Lava,-
ChattyImoen,Chatty Imoen,,minor,NPC-EXPANSION,https://github.com/The-Gate-Project/ChattyImoen,BG1,,,2023-11-21,v1.5,,8031401,AstroBryGuy,-
continuous-npcs,Continuous NPCs,,minor,NPC-EXPANSION,https://www.morpheus-mart.com/continuous-npcs,BG1-BG2,,,2026-06-25,2.0,,456861,Morpheus562,-
CoranBGFriend,Coran BG Friendship,,minor,NPC-EXPANSION,https://github.com/Gibberlings3/CoranBGFriend,BG1,,,2022-09-19,v5.2,,2984133,Domi,https://gibberlings3.github.io/Documentation/readmes/coranbgreadme.html
Corthala_Romantique,Corthala Romantique,,minor,NPC-EXPANSION,https://github.com/Gibberlings3/Corthala_Romantique,BG2,,,2022-04-02,v5,,3435184,"Domi, Beyshaliban, Caetlyn, Meira, jastey ",https://gibberlings3.github.io/Documentation/readmes/readme_cr.english.txt
Crossmod_Banter_Pack_for_Baldurs_Gate_II,Crossmod Banter Pack for Baldur's Gate II,,medium,NPC-EXPANSION,https://github.com/Gibberlings3/Crossmod_Banter_Pack_for_Baldurs_Gate_II,BG2,,,2025-08-19,v30,,6836504,Grim Squeaker ,https://gibberlings3.github.io/Documentation/readmes/readme-crossmodbg2.html
Bg2Dorn,Dorn for BG2,,minor,NPC-EXPANSION,https://github.com/trinit2/Bg2Dorn,BG2,,,2022-05-01,ece4aad,,6595920,trinit,-
Dorn-Friendship,Dorn Friendship,,minor,NPC-EXPANSION,https://github.com/Spellhold-Studios/Dorn-Friendship,BG2,,,2026-01-22,v1.2,,221183,Lava,https://spellhold-studios.github.io/readmes/dorn-friendship/DornFriendship-readme-english.html
Edwin-Romance,Edwin Romance,,minor,NPC-EXPANSION,https://github.com/Spellhold-Studios/Edwin-Romance,BG2,,,2023-12-04,v4.0,,19413830,laufeygreen,https://spellhold-studios.github.io/readmes/edwin-romance/edwinromance-readme.html
Garrick_Tales-of-a-Troubadour,Garrick: Tales of a Troubadour,,minor,NPC-EXPANSION,https://github.com/The-Gate-Project/Garrick_Tales-of-a-Troubadour,BG1,,,2025-12-24,v1.28,,7017447,mirandir,-
HaerDalis-Friendship,Haer'Dalis Friendship,,minor,NPC-EXPANSION,https://github.com/Spellhold-Studios/HaerDalis-Friendship,BG2,,,2024-12-15,v1.2,,2877935,Aeryn,https://spellhold-studios.github.io/readmes/haerdalis-friendship/haerdalisfriendship-readme-english.html
Haer-Dalis-Romance,Haer'Dalis Romance,,minor,NPC-EXPANSION,https://github.com/Endarire/Haer-Dalis-Romance,BG2,,1,2023-08-01,2.2,,67,Aeryn,https://www.gibberlings3.net/forums/topic/354-the-haerdalis-romance-mod/
Hexxat-Friendship,Hexxat Friendship,,minor,NPC-EXPANSION,https://github.com/Spellhold-Studios/Hexxat-Friendship,BG2,,,2024-07-15,v1.2,,165581,Lava,https://spellhold-studios.github.io/readmes/hexxat-friendship/HexxatFriendship-readme-english.html
IEP-Extended-Banters,IEP Extended Banters,,medium,NPC-EXPANSION,https://github.com/Spellhold-Studios/IEP-Extended-Banters,BG2,,,2024-12-15,v5.9,,3390458,Multiple ,https://spellhold-studios.github.io/readmes/iep-extended-banters/iepbanters-readme-english.html
Imoen-Friendship,Imoen Friendship,,minor,NPC-EXPANSION,https://github.com/Spellhold-Studios/Imoen-Friendship,BG2,,,2024-12-15,v3.6,,2790412,Kaeloree ,https://spellhold-studios.github.io/readmes/imoen-friendship/imoenfriendship-readme-english.html
Imoen-Romance-Mod,Imoen Romance,,minor,NPC-EXPANSION,https://github.com/Mirrabbo/Imoen-Romance-Mod,BG2,,,2026-03-27,mod,,47267079,"Israel Blargh,vanatos, T.C Dale",https://github.com/Mirrabbo/Imoen-Romance-Mod/blob/main/imoenRomance/README.txt
iwdcrossmod,IWD Crossmod Banter Pack,,medium,NPC-EXPANSION,https://github.com/Gibberlings3/iwdcrossmod,IWD,,,2024-12-26,v5,,1228134,Multiple ,https://gibberlings3.github.io/Documentation/readmes/readme-iwdcrossmodpack.html
Jaheira-Friendship,Jaheira Friendship,,minor,NPC-EXPANSION,https://github.com/Spellhold-Studios/Jaheira-Friendship,BG2,,,2024-12-10,v1.3,,1562669,Lava  ,https://spellhold-studios.github.io/readmes/jaheira-friendship/JaheiraFriendship-readme-english.html
Keldorn_Romance,Keldorn Romance,,minor,NPC-EXPANSION,https://github.com/Gibberlings3/Keldorn_Romance,BG2,,,2023-01-21,v8.1,,11861860,berelinde,https://gibberlings3.github.io/Documentation/readmes/readme-keldorn_rom.txt
Korgan-Friendship,Korgan Friendship,,minor,NPC-EXPANSION,https://github.com/Spellhold-Studios/Korgan-Friendship,BG2,,,2024-12-15,v1.6,,1399887,"Lava, fluke13",https://spellhold-studios.github.io/readmes/korgan-friendship/korganfriendship-readme-english.html
Korgan-Redemption,Korgan's Redemption,,minor,NPC-EXPANSION,https://github.com/Spellhold-Studios/Korgan-Redemption,BG2,,,2024-12-15,v10.0.1,,1220938,Picollo,https://spellhold-studios.github.io/readmes/korgan-redemption/korgan-readme-english.txt
M-khiin-Friendship,M'Khiin Friendship,,minor,NPC-EXPANSION,https://github.com/dark0dave/M-khiin-Friendship,BG1,,,2026-01-25,V1.4,,1468179,dark0dave,-
Mazzy-Friendship,Mazzy Friendship,,minor,NPC-EXPANSION,https://github.com/Spellhold-Studios/Mazzy-Friendship,BG2,,,2024-12-15,v3.5,,1505534,"Lava, Kaeloree, TheArtisan",https://spellhold-studios.github.io/readmes/mazzy-friendship/mazzyfriendship-readme-english.html
Minsc-Friendship,Minsc Friendship,,minor,NPC-EXPANSION,https://github.com/Spellhold-Studios/Minsc-Friendship,BG2,,,2024-12-15,v1.3,,2961151,"Kaeloree, Lava, TheArtisan",https://spellhold-studios.github.io/readmes/minsc-friendship/minscfriendship-readme-english.html
Nalia_At_Last,Nalia At Last,,minor,NPC-EXPANSION,https://github.com/Skitia/Nalia_At_Last,BG2,,,2025-03-09,v1.14,,10936346,Skitia,-
NeeraBanters,Neera Banters,,minor,NPC-EXPANSION,https://github.com/The-Gate-Project/NeeraBanters,BG1,,,2024-11-19,v0.9.3,,4540570,AstroBryGuy,-
Neera-Expansion,Neera Expansion,,minor,NPC-EXPANSION,https://github.com/Spellhold-Studios/Neera-Expansion,BG1,,,2024-12-15,v1.3.1,,504029,Kaeloree,https://spellhold-studios.github.io/readmes/neera-expansion/neera-expansion-readme-english.html
Rasaad-Expansion-BG1,Rasaad Expansion for BG1,,minor,NPC-EXPANSION,https://github.com/TheArtisanBG/Rasaad-Expansion-BG1,BG1,1,,2026-02-27,b71f3d1,,1291781,TheArtisan,https://theartisanbg.github.io/The-Artisans-Corner/rasaad-bg1.html
Sarevok-Friendship,Sarevok Friendship,,minor,NPC-EXPANSION,https://github.com/Spellhold-Studios/Sarevok-Friendship,BG2,,,2024-12-15,v2.7,,1416144,Aeryn,https://spellhold-studios.github.io/readmes/sarevok-friendship/sarevokfriendship-readme-english.html
Sarevok-Romance,Sarevok Romance,,minor,NPC-EXPANSION,https://github.com/Spellhold-Studios/Sarevok-Romance,BG2,,,2025-09-18,v1.4,,2093514,Aeryn,https://spellhold-studios.github.io/readmes/sarevok-romance/sarevokromance_readme.html
Totemic_Cernd,Totemic Cernd,,minor,NPC-EXPANSION,https://github.com/Gibberlings3/Totemic_Cernd,BG2,,,2017-06-06,v3,,186394,cirerrek,https://gibberlings3.github.io/Documentation/readmes/readme-totemiccernd.html
Valygar-Friendship,Valygar Friendship,,minor,NPC-EXPANSION,https://github.com/Spellhold-Studios/Valygar-Friendship,BG2,,,2024-12-15,v1.5,,2949936,Lava,https://spellhold-studios.github.io/readmes/valygar-friendship/valygarfriendship-readme-english.html
Viconia-Friendship,Viconia Friendship,,minor,NPC-EXPANSION,https://github.com/Spellhold-Studios/Viconia-Friendship,B2,,,2024-12-15,v4.5,,1632470,Kaeloree,https://spellhold-studios.github.io/readmes/viconia-friendship/viconiafriendship-readme-english.html
viconia-revamped,Viconia Revamped,,minor,NPC-EXPANSION,https://downloads.weaselmods.net/download/viconia-revamped,BG1-BG2,,,2026-05-14,7.4.1,,5072857,Lava,-
Wings,Wings,,minor,NPC-EXPANSION,https://github.com/Skitia/Wings,BG2,,,2024-10-07,v1.07,,2742773,Skitia,https://github.com/Skitia/Wings/blob/master/Readme-Wings.txt
Xan_BG1_Friendship,Xan BG1 Friendship,,minor,NPC-EXPANSION,https://github.com/Pocket-Plane-Group/Xan_BG1_Friendship,BG1,,,2020-08-03,v11,,6055126,Kulyok,https://github.com/Pocket-Plane-Group/Xan_BG1_Friendship/blob/master/XanBG1Friend/Readme-XanBG1Friend.txt
Yoshimo-Friendship,Yoshimo Friendship,,minor,NPC-EXPANSION,https://github.com/Spellhold-Studios/Yoshimo-Friendship,BG2,,,2024-12-15,v5.0,,2916682,Shadowhawke ,https://spellhold-studios.github.io/readmes/yoshimo-friendship/yoshimofriendship-readme-english.html
yoshimo-romance,Yoshimo Romance,,minor,NPC-EXPANSION,https://downloads.weaselmods.net/download/yoshimo-romance,BG2,,,2026-01-23,8.0,,58228645,Lava,-
Yoshimos_Remorse,Yoshimo's Remorse,,minor,NPC-EXPANSION,https://github.com/Gibberlings3/Yoshimos_Remorse,BG2,,,2026-03-17,v3.3,,9046362,Lava,https://gibberlings3.github.io/Documentation/readmes/readme-yr.html
A7-BanterAccelerator,Banter Accelerator,,minor,NPC-RELATED,https://github.com/Argent77/A7-BanterAccelerator,BG1-BG2,,,2024-07-27,v1.6,,33188,Argent77,-
A7-NoEENPCs,No EE NPCs,,minor,NPC-RELATED,https://github.com/Argent77/A7-NoEENPCs,BG1-BG2,,,2025-10-23,v5.3,,4875247,Argent77,-
SkitiaBG2RomanceTweaks,Skitia BG2 Romance Tweaks,,minor,NPC-RELATED,https://github.com/Skitia/SkitiaBG2RomanceTweaks,BG2,,,2023-03-24,2c103a6,,833357,Skitia,-
BG2EE-Slayer-Portrait-Change,BG2EE Slayer Portrait Change,,minor,PORTRAITS,https://github.com/LCA-EET/BG2EE-Slayer-Portrait-Change,BG2,,,2026-06-26,v1.0.1,,219293,LCAMod ,-
Infinity_Collection_Portrait_Pack,Infinity Collection Portrait Pack,,minor,PORTRAITS,https://github.com/Gibberlings3/Infinity_Collection_Portrait_Pack,BG1-BG2-IWD,,,2022-03-07,v2,,44496778,CamDawg ,https://gibberlings3.github.io/Documentation/readmes/readme-cd_icpp.html
Adalons_Blood,Adalon's Blood,,minor,QUEST,https://github.com/Gitjas/Adalons_Blood,BG2,,,2026-07-25,v17.3,,2961922,"Gandalf the white, jastey",-
AerieBG1,Aerie for BG1,,minor,QUEST,https://github.com/The-Gate-Project/AerieBG1,BG1,,,2023-11-22,v2.5,,14394511,Coutelier,-
arszyk,Arszyk's Wonderful Decay,,medium,QUEST,https://downloads.weaselmods.net/download/arszyk,IWD,,,2025-10-25,BETA1.4,,6899795,Lava,-
Assassinations,Assassinations,,major,QUEST,https://github.com/Pocket-Plane-Group/Assassinations,BG2,,,2023-08-30,v19,,11921452,Kulyok ,https://mods.pocketplane.net/kulyok/Readme-Assassinations.txt
bg2-autumns-twilight-mod,Autumn's Twilight,,major,QUEST,https://github.com/evancauteren/bg2-autumns-twilight-mod,BG2,,,2026-05-02,v1.4.5-hotfix4,,1602037039,Pol Rupes,https://forums.beamdog.com/discussion/88816/mod-autumns-twilight-bg2at/p1
below-below-inn,Below Below Inn,,major,QUEST,https://downloads.weaselmods.net/download/below-below-inn,IWD,,,2026-04-26,3.1,,14564620,Lava,-
Black-Hearts,Black Hearts,,major,QUEST,https://github.com/A-Wizard-Did-It/Black-Hearts,BG1,,,2025-05-27,v2.03,,61788974,A-Wizard-Did-It,-
blizzard-in-baator,Blizzard in Baator,,major,QUEST,https://github.com/BallDamage312/blizzard-in-baator,PST,,,2026-06-20,1.0.2,,864941205,CANIA BELIEVE IT,https://grimuar.pl/en/blizzardinbaator/blizzard-in-baator-launch-act-i-is-now-available/
Call-of-the-Lost-Goddess,Call of the Lost Goddess,,major,QUEST,https://github.com/AciferBG/Call-of-the-Lost-Goddess,BG2,,,2026-07-01,v3.0,,467786145,Acifer,-
Dark-Tidings,Dark Tidings,,major,QUEST,https://github.com/AciferBG/Dark-Tidings,BG2,,,2026-03-14,v3.0,,184602397,Acifer,-
SearchGuild,Detective Guild of Athkatla ,,major,QUEST,https://github.com/Austin-BG/SearchGuild,BG2,,,2026-06-01,v.1.5.3,,28691383,Austin,-
Expanded-Thief-Stronghold,Expanded Thief Stronghold,,major,QUEST,https://github.com/Spellhold-Studios/Expanded-Thief-Stronghold,BG2,,,2024-12-15,v3.0.0,,10006423,Gebhard Blucher ,https://spellhold-studios.github.io/readmes/expanded-thief-stronghold/expanded_thief_stronghold-readme-english.html
Loretakers,Loretakers,,major,QUEST,https://github.com/AciferBG/Loretakers,BG1,,,2026-02-25,v2.6,,28040737,Acifer,-
NecromancersQuestRestored,Necromancer's Quest Restored,,minor,QUEST,https://github.com/Dziadekkk/NecromancersQuestRestored,BG1,,,2026-07-27,v1.4,,1415905,Dziadekkk,-
night-of-the-blinking-dead,Night of the Blinking Dead,,major,QUEST,https://downloads.weaselmods.net/download/night-of-the-blinking-dead,IWD,,,2026-02-21,3.1,,11035414,Lava,-
oozes-lounge,Ooze's Lounge,,major,QUEST,https://downloads.weaselmods.net/download/oozes-lounge,BG2,,,2026-05-23,3.1,,35968987,Lava,-
Poisoned-Pathways,Poisoned Pathways,,major,QUEST,https://github.com/AciferBG/Poisoned-Pathways,BG2,,,2026-07-22,v1.3,,209898671,Acifer,-
skie-the-cost-of-one-girls-soul,Skie: The Cost of One Girl's Soul,,medium,QUEST,https://downloads.weaselmods.net/download/skie-the-cost-of-one-girls-soul,BG2,,,2026-03-31,7.1.1,,36169180,Lava,-
snowytoes-hamlet,Snowytoes Hamlet,,major,QUEST,https://downloads.weaselmods.net/download/snowytoes-hamlet,IWD,,,2026-02-21,1.6,,19581460,Lava,-
tale-of-our-lady-dreamless,Tale of Our Lady Dreamless,,major,QUEST,https://downloads.weaselmods.net/download/tale-of-our-lady-dreamless,IWD,,,2026-02-21,2.7,,10303366,Lava,-
tangled-oak-isle,Tangled Oak Isle,,major,QUEST,https://downloads.weaselmods.net/download/tangled-oak-isle,BG2,,,2026-01-10,4.7,,76980894,Lava,-
terror-of-the-skineater,Terror of the Skineater,,major,QUEST,https://downloads.weaselmods.net/download/terror-of-the-skineater,IWD,,,2026-04-26,2.6,,40001456,Lava,-
The_Boareskyr_Bridge_Scene,The Boareskyr Bridge Scene,,minor,QUEST,https://github.com/Gibberlings3/The_Boareskyr_Bridge_Scene,BG1,,,2025-02-02,v8,,2873107,jastey,https://gibberlings3.github.io/Documentation/readmes/readme.c%23sodboabri.english.txt
The_Calling,The Calling,,major,QUEST,https://github.com/Gibberlings3/The_Calling,BG1,,,2026-06-21,v6,,53000372,Multiple ,https://gibberlings3.github.io/Documentation/readmes/readme-thecalling.html
CowledMenace,The Cowled Menace,,major,QUEST,https://github.com/Gibberlings3/CowledMenace,BG2,,,2026-07-27,2.1.0,,1653276,Daxtreme ,https://github.com/Gibberlings3/CowledMenace/blob/master/README.md
gorgon,The Gorgon's Eye,,major,QUEST,https://github.com/TotalMilk90/gorgon,BG1,,,2024-09-28,v4.8,,29290545,TotalMilk90,https://github.com/TotalMilk90/gorgon/blob/main/gorgon/readme-gorgon.txt
the-rediscovery-of-kuldahar,The Rediscovery of Kuldahar,,major,QUEST,https://downloads.weaselmods.net/download/the-rediscovery-of-kuldahar,IWD,,,2026-04-26,2.6,,40950290,Lava,-
the-vanishing-of-skie-silvershield,The Vanishing of Skie Silvershield,,minor,QUEST,https://downloads.weaselmods.net/download/the-vanishing-of-skie-silvershield,BG1,,,2024-12-09,2.5,,1651190,Lava,-
the-war-of-bloom-and-rot,The War of Bloom and Rot,,major,QUEST,https://downloads.weaselmods.net/download/the-war-of-bloom-and-rot,IWD,,,2025-12-14,1.3,,51915387,Lava,-
Throne-of-the-Mad-God,Throne of the Mad God,,major,QUEST,https://github.com/AciferBG/Throne-of-the-Mad-God,BG2,,,2026-07-01,v2.3,,343069863,Acifer,-
bg_enemy_randomizer,BG Enemy Randomizer,,medium,RANDOMISATION,https://github.com/GuardianAnubite/bg_enemy_randomizer,BG1-BG2,,,2024-08-26,v1.1.3,,597787,GuardianAnubite,https://gibberlings3.github.io/Documentation/readmes/readme-gaenemyrando.html
BGSpawn,BGSpawn,,major,RANDOMISATION,https://github.com/Spellhold-Studios/BGSpawn,BG1,,,2025-05-19,1.3.4,,144700643,melkor_morgoth75,https://spellhold-studios.github.io/readmes/bgspawn/BGSpawnReadme.doc
randomiser,Item Randomiser,,major,RANDOMISATION,https://github.com/FredrikLindgren/randomiser,BG1-BG2,,,2018-09-23,v7,,5033551,FredrikLindgren,https://gibberlings3.github.io/Documentation/readmes/readme-randomiser.html
Another_Fine_Hell,Another Fine Hell,,medium,RESTRUCTURE,https://github.com/Gibberlings3/Another_Fine_Hell,BG1,,,2023-09-19,vAlpha_230919,,3014847,jastey,https://gibberlings3.github.io/Documentation/readmes/readme.anotherfinehell.english.txt
Candlekeep-Revisited,Candlekeep Revisited,,medium,RESTRUCTURE,https://github.com/TheArtisanBG/Candlekeep-Revisited,BG1,,,2026-04-07,97bb6d3,,7973031,TheArtisan,https://theartisanbg.github.io/The-Artisans-Corner/candlere
crucible,Crucible,,major,RESTRUCTURE,https://www.morpheus-mart.com/crucible,BG2,,,2026-03-15,5.0,,495576570,Morpheus562,-
fight-the-heavens,Fight the Heavens,,minor,RESTRUCTURE,https://www.morpheus-mart.com/fight-the-heavens,BG2,,,2025-10-11,v1.2,,11472,Morpheus562,-
Lunia-For-Good-Parties,Lunia for Good Parties,,minor,RESTRUCTURE,https://github.com/bucketfulofsunshine/Lunia-For-Good-Parties,BG2,,,2026-04-22,V1.9.1,,7760929,bucketfulofsunshine  ,-
MortuaryBeGone,Mortuary Be Gone,,minor,RESTRUCTURE,https://github.com/aquadrizzt/MortuaryBeGone,PST,,,2023-06-21,v0.11,alpha,1375923,aquadrizzt,-
SoAExtended,Shadows of Amn Extended,,medium,RESTRUCTURE,https://github.com/TheArtisanBG/SoAExtended,BG2,1,,2026-06-07,6b98641,,1377781,TheArtisan,https://theartisanbg.github.io/The-Artisans-Corner/soaextended
A7-SkipChateauIrenicus,Skip Chateau Irenicus,,minor,RESTRUCTURE,https://github.com/Argent77/A7-SkipChateauIrenicus,BG2,,,2024-12-07,v3.5,,2764856,Argent77,-
the-pursuit-of-justice,The Pursuit of Justice,,minor,RESTRUCTURE,https://github.com/bucketfulofsunshine/the-pursuit-of-justice,BG2,,,2026-06-30,V1.2,,294586,bucketfulofsunshine  ,-
Better-IWD-Pregen,Better IWD Pregen,,minor,SCRIPT,https://github.com/D2-mods/Better-IWD-Pregen,BG1-BG2-IWD,,,2025-10-26,v8.0,,2503501,Dan_P,-
enhanced-powergaming-scripts,Enhanced Powergaming Scripts,,minor,SCRIPT,https://www.morpheus-mart.com/enhanced-powergaming-scripts,BG1-BG2-IWD,,,2026-07-26,17.1,,8684728,Morpheus562,-
Baldurs-Gate-II-Voice-Pack-for-EE-2.6,Baldur's Gate II Voice Pack for EE 2.6,,minor,SOUND,https://github.com/GraionDilach/Baldurs-Gate-II-Voice-Pack-for-EE-2.6,BG1-BG2-IWD,,,2023-05-21,version-1.2.0,,4567878,GraionDilach,-
